IncGeo_BoroughName,ResponseTimeBinary,inner,Latitude,Longitude
HACKNEY,0,1,51.5494200927,-0.0311244105
HACKNEY,0,1,51.5517245553,-0.0309545637
HACKNEY,0,1,51.551398,-0.030488
HACKNEY,0,1,51.551398,-0.030488
HACKNEY,0,1,51.5513934577,-0.0307634607
WALTHAM FOREST,0,0,51.567573,-0.029789
WALTHAM FOREST,0,0,51.567573,-0.029789
WALTHAM FOREST,0,0,51.568471,-0.02975
WALTHAM FOREST,1,0,51.568471,-0.02975
WALTHAM FOREST,0,0,51.5691665794,-0.0301940497
WALTHAM FOREST,1,0,51.571167,-0.029633
WALTHAM FOREST,0,0,51.571167,-0.029633
WALTHAM FOREST,0,0,51.5735894332,-0.030223191
WALTHAM FOREST,0,0,51.5735895,-0.030223
WALTHAM FOREST,0,0,51.573616092,-0.0295427787
WALTHAM FOREST,0,0,51.5761276321,-0.0298021526
WALTHAM FOREST,1,0,51.577457,-0.029361
WALTHAM FOREST,0,0,51.577457,-0.029361
WALTHAM FOREST,0,0,51.577457,-0.029361
WALTHAM FOREST,0,0,51.577457,-0.029361
WALTHAM FOREST,0,0,51.577457,-0.029361
WALTHAM FOREST,0,0,51.5784252,-0.0295523
WALTHAM FOREST,1,0,51.579255,-0.029284
WALTHAM FOREST,0,0,51.5805671758,-0.0292528839
WALTHAM FOREST,0,0,51.580153,-0.029245
WALTHAM FOREST,0,0,51.5804494005,-0.029225768
WALTHAM FOREST,0,0,51.5809426824,-0.0289028362
WALTHAM FOREST,1,0,51.581052,-0.029206
WALTHAM FOREST,0,0,51.58195,-0.029167
WALTHAM FOREST,0,0,51.58195,-0.029167
WALTHAM FOREST,0,0,51.58195,-0.029167
WALTHAM FOREST,0,0,51.5832574,-0.0297476
WALTHAM FOREST,0,0,51.5826187586,-0.0291842439
WALTHAM FOREST,0,0,51.583748,-0.029089
WALTHAM FOREST,1,0,51.5834109891,-0.0283776534
WALTHAM FOREST,0,0,51.584646,-0.02905
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,1,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,1,0,51.585545,-0.029011
WALTHAM FOREST,1,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,0,0,51.585545,-0.029011
WALTHAM FOREST,1,0,51.586443,-0.028973
WALTHAM FOREST,0,0,51.586443,-0.028973
WALTHAM FOREST,0,0,51.586443,-0.028973
WALTHAM FOREST,0,0,51.586443,-0.028973
WALTHAM FOREST,0,0,51.587342,-0.028934
WALTHAM FOREST,0,0,51.589139,-0.028856
WALTHAM FOREST,0,0,51.5888818518,-0.0286715263
WALTHAM FOREST,0,0,51.5897233,-0.0287031
WALTHAM FOREST,0,0,51.5897320481,-0.0287231209
